Id,Figura,Base,Descripcion,Image,Video,Contributor
c973d4a3dbba1ef55d1c6044968fc305,Angel,Zapato,,,,Fer Medina
55b8cbdaa487789b9d687001dc7e3d23,Cisne,Zapato,,,,Fer Medina
38825147694a00b0cc6b3ea62f8e6456,Split invertido y figura de aro,Zapato,,,,Fer Medina
8c5dbcd0e719061e4d68d8676841c0c9,Arcoíris,Zapato,,,,Fer Medina
ae4748a1968ba8a8cf8fe55567cc5ce0,Secuencia de Ángel,Zapato,,,,Fer Medina
92e1c8fcf9e41a093134971c22b499ef,Ángel pajarito,Zapato,,,,Fer Medina
f65686f1c8bbc962944ae5273131617b,Cupido,Zapato,,,,Fer Medina
866146cbaa4347785e6305eb229aaeb5,Secretaria,Zapato,,,,Fer Medina
e1587fec1b53789236c6badce575fc36,Colibrí,Zapato,,,,Fer Medina
f879f036cb54faafdb024a6c706293ff,Corva,Zapato,,,,Fer Medina
dd7fac294833619dc46c06f2374f5140,Soldado,Zapato,,,,Fer Medina
f550e7383892f017d9a60c75c8e8be63,"Flecha (variación de plancha, de split, caída y escorpión, secuencia, entrada a estrella)",Punta-Flex,,,,Fer Medina
094dc618f4f934c5f583bc5dbdd9d207,Trapecio,Punta-Flex,,,,Fer Medina
42320b359ac2dbab1c9c50cf962dfb1c,Wonder woman,Punta-Flex,,,,Fer Medina
f598ce7c28a79fd71eaf17fd475af708,Mariposa punta flex (péndulos),Punta-Flex,,,,Fer Medina
1d27ffe103a32b689878fd668a986345,Pegaso,Punta-Flex,,,,Fer Medina
dd6715a3e0319e0373c24e301def7f3e,Zapatos punta flex,Punta-Flex,,,,Fer Medina
1669d37c6ea3ecce2b5fcb7be99eebe0,Secuencia de trapecio,Punta-Flex,,,,Fer Medina
c4847ed3cb98c4b8d6e16f7233cad4cb,Entrada a flecha por cupido,Punta-Flex,,,,Fer Medina
1a898fd0ee4ac188607decaf1110364c,"Bungee (punta Flex, 8)",Punta-Flex,,,,Fer Medina
4531e0da4fc551fa3e9d954915c4f6eb,Secuencia flecha-cuadrado,Punta-Flex,,,,Fer Medina
116669741d19091f49d3b987d50143bd,Murcielago,Punta-Flex,,,,Fer Medina
3e50955e3238e547950f75064bde700e,Cubo,Punta-Flex,,,,Fer Medina
ec4844206da7539c31f1a8c297bff4cb,3 (tres),Punta-Flex,,,,Fer Medina
58d69fce13b1a92813651828789fb700,"Mariposa (salida con giro, entrada larga)",Zapato Doble,,,,Fer Medina
6586751265cf35875fc807399759d9f9,"Secuencia espartana (caída(fum fum fum) , escorpión)",Zapato Doble,,,,Fer Medina
17d4e12ecb7cd111992448d0999f5cda,"Bandera (figura de bandera, caída)",Zapato Doble,,,,Fer Medina
a946c4126fe491869fcabe9de54f8b0f,"Ardilla (variación de split, caída y entrada sencilla a estribos, entrada a estribo por péndulo)",Zapato Doble,,,,Fer Medina
9ea9f91e1c82192a914e7abca08574d7,Split con giro (figura de bandera),Zapato Doble,,,,Fer Medina
1e1d660a011573aa569adb2824983a99,Torre eiﬀel,Zapato Doble,,,,Fer Medina
bec0a00117e7bcb7fd1f74f2de375612,"Figura de tijera (caída de medio giro, de péndulo)",Tijera,,,,Fer Medina
47c52f3b2274edf91583f4ace6782099,Paloma,Tijera,,,,Fer Medina
27e06fb8fe9c34a0ca48f1d82b621449,Caída de paloma,Tijera,,,,Fer Medina
527d60cd4715db174ad56cda34ab2dce,Superman,Tijera,,,,Fer Medina
f285bec73b34c6b77026c180aae0e5ba,Buzz,Tijera,,,,Fer Medina
cecf4db3255e5a1e7fb5fbd3981bb67c,Subida (entrada a estrella),Tijera,,,,Fer Medina
0c171e69e83ae23bf79747cf3cf162b7,Caída de tijera sin bloqueo,Tijera,,,,Fer Medina
d1015046cf04b4de57bfb86d41213a01,Infinita,Tijera,,,,Fer Medina
0a1788c082ebe972929beed7806425fe,Elevador,Tijera,,,,Fer Medina
0f3bc6542dbad55ec3fb1db1ef923212,Candy cane gotita péndulo,Tijera,,,,Fer Medina
3a9f7a1e565d3c5bb2feb16cf978de49,Transicion de tijera a arnés,Tijera,,,,Fer Medina
a0585a4bacdda69bdd6d60105cf9351c,Tijera a estribo,Tijera,,,,Fer Medina
